url,FileSize,NumOfOutLink,ContentType
https://www.c-span.org/search/?personid%5B%5D=102358&searchtype=Videos&seriesid%5B%5D=91&sort=Most%2BRecent%2BAiring,55 KB,63,text/html
https://www.c-span.org/search/?personid%5B%5D=2249&searchtype=Videos&seriesid%5B%5D=91&sort=Most%2BRecent%2BAiring,76 KB,97,text/html
https://www.c-span.org/election/,29 KB,57,text/html
https://www.c-span.org/search/?personid%5B%5D=102356&searchtype=Videos&seriesid%5B%5D=91&sort=Most%2BRecent%2BAiring,55 KB,63,text/html
https://www.c-span.org/person/?rcruz,41 KB,90,text/html
https://www.c-span.org/series/?booktv,85 KB,197,text/html
https://www.c-span.org/series/?americanArtifacts,42 KB,84,text/html
https://www.c-span.org/congress/votes/?chamber=house,99 KB,103,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fcongress%2F,35 KB,56,text/html
https://www.c-span.org/convention/?party=dnc,30 KB,57,text/html
https://www.c-span.org/person/?hillaryclinton,44 KB,100,text/html
https://www.c-span.org/series/?presidentialLibr,41 KB,78,text/html
https://www.c-span.org/person/?mikehuckabee,40 KB,94,text/html
https://www.c-span.org/search/?searchtype=Videos&seriesid%5B%5D=91&sort=Most%2BRecent%2BAiring,75 KB,96,text/html
https://www.c-span.org/classroom/login/?redir=%2Fclassroom%2Flessons%2F,12 KB,67,text/html
https://www.c-span.org/person/?jameswebb,42 KB,96,text/html
https://www.c-span.org/classroom/contact/email/,11 KB,66,text/html
https://www.c-span.org/classroom/login/?redir=%2Fclassroom%2FMyC-SPANClassroom%2F,12 KB,67,text/html
https://www.c-span.org/classroom/login/?redir=%2Fclassroom%2Fdocument%2F%3F7430,12 KB,67,text/html
https://www.c-span.org/classroom/login/,12 KB,67,text/html
https://www.c-span.org/classroom/document/?7719,13 KB,71,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fsort%3DNewest%26tagid%255B%255D%3D5698,35 KB,57,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fsearchtype%3DClips%26sort%3DMost%2520Popular%26tagid%255B%255D%3D5709,35 KB,57,text/html
https://www.c-span.org/search/?personid%5B%5D=994&searchtype=Videos&seriesid%5B%5D=91&sort=Most%2BRecent%2BAiring,77 KB,98,text/html
https://www.c-span.org/presidentialDebate/?debate=vice,73 KB,135,text/html
https://www.c-span.org/person/?jebbush,40 KB,101,text/html
https://www.c-span.org/search/?personid%5B%5D=36782&searchtype=Videos&seriesid%5B%5D=91&sort=Most%2BRecent%2BAiring,76 KB,97,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fseries%2F%3Fahtv,35 KB,56,text/html
https://www.c-span.org/presidentialDebate/?debate=first,73 KB,135,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fsearchtype%3DClips%26sort%3DMost%2520Popular%26tagid%255B%255D%3D5698,35 KB,57,text/html
https://www.c-span.org/classroom/search/?topicids%5B%5D=58,39 KB,106,text/html
https://www.c-span.org/search/?personid%5B%5D=1620&searchtype=Videos&seriesid%5B%5D=91&sort=Most%2BRecent%2BAiring,77 KB,97,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fedate%3D02%252F20%252F2018%26sdate%3D02%252F17%252F2018%26searchtype%3DVideos%26sort%3DMost%252BPopular,35 KB,57,text/html
https://www.c-span.org/search/?personid%5B%5D=24776&searchtype=Videos&seriesid%5B%5D=91&sort=Most%2BRecent%2BAiring,77 KB,97,text/html
https://www.c-span.org/congress/?chamber=house&date=2018-02-20,53 KB,93,text/html
https://www.c-span.org/series/?reelAmerica,42 KB,84,text/html
https://www.c-span.org/search/?edate&formatid%5B%5D=33&sdate&searchtype=Videos&sort=Most%2BRecent%2BEvent&sponsorid%5B%5D=1133&text=0,73 KB,97,text/html
https://www.c-span.org/search/?searchtype=Videos&seriesid%5B%5D=14&sort=Most%2BRecent%2BAiring,73 KB,96,text/html
https://www.c-span.org/search/?personid%5B%5D=4776&searchtype=Videos&seriesid%5B%5D=91&sort=Most%2BRecent%2BAiring,77 KB,97,text/html
https://www.c-span.org/search/?personid%5B%5D=1019953&searchtype=Videos&seriesid%5B%5D=91&sort=Most%2BRecent%2BAiring,76 KB,97,text/html
https://www.c-span.org/congress/?chamber=senate&date=2018-02-20,40 KB,77,text/html
https://www.c-span.org/person/?jamesgilmore,40 KB,98,text/html
https://www.c-span.org/person/?austinpetersen,34 KB,76,text/html
https://www.c-span.org/person/?scottwalker,36 KB,83,text/html
https://www.c-span.org/series/?BlairHouse,34 KB,60,text/html
https://www.c-span.org/search/?personid%5B%5D=102357&searchtype=Videos&seriesid%5B%5D=91&sort=Most%2BRecent%2BAiring,55 KB,63,text/html
https://www.c-span.org/person/?marcorubio,42 KB,97,text/html
https://www.c-span.org/series/?Tocqueville,39 KB,74,text/html
https://www.c-span.org/person/?lawrencelessig,38 KB,90,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fseries%2F%3Fnewsmakers,35 KB,56,text/html
https://www.c-span.org/person/?racosta,38 KB,94,text/html
https://www.c-span.org/series/?LincolnDouglas,39 KB,75,text/html
https://www.c-span.org/classroom/login/?redir=%2Fclassroom%2Fdocument%2F%3F7423,12 KB,67,text/html
https://www.c-span.org/classroom/login/?redir=%2Fclassroom%2Fdocument%2F%3F7422,12 KB,67,text/html
https://www.c-span.org/classroom/login/?redir=%2Fclassroom%2Fdocument%2F%3F7664,12 KB,67,text/html
https://www.c-span.org/person/?kirstjennielsen,36 KB,82,text/html
https://www.c-span.org/classroom/login/?redir=%2Fclassroom%2Fdocument%2F%3F7541,12 KB,67,text/html
https://www.c-span.org/search/?edate&formatid%5B%5D=28&formatid_ex%5B%5D=33&sdate&searchtype=Videos&sort=Most%2BRecent%2BEvent&supremeCourt=1&text=0,73 KB,96,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2FexecutiveBranch%2F,35 KB,56,text/html
https://www.c-span.org/series/?loc,35 KB,66,text/html
https://www.c-span.org/series/?historyBookshelf,42 KB,84,text/html
https://www.c-span.org/person/?elainechao,39 KB,98,text/html
https://www.c-span.org/search/?personid%5B%5D=9265241&searchtype=Videos&seriesid%5B%5D=91&sort=Most%2BRecent%2BAiring,76 KB,97,text/html
https://www.c-span.org/person/?jamesmattis,38 KB,92,text/html
https://www.c-span.org/series/?theSupremeCourt,43 KB,92,text/html
https://www.c-span.org/person/?martinomalley,38 KB,88,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fseries%2Fbrowse%2F,35 KB,56,text/html
https://www.c-span.org/search/?personid%5B%5D=87599&searchtype=Videos&seriesid%5B%5D=91&sort=Most%2BRecent%2BAiring,76 KB,98,text/html
https://www.c-span.org/person/?alexazar,37 KB,85,text/html
https://www.c-span.org/series/?theWhiteHouse,42 KB,89,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fsearchtype%3DClips%26sort%3DMost%2520Popular%26tagid%255B%255D%3D1069,35 KB,57,text/html
https://www.c-span.org/person/?jeffsessions,43 KB,95,text/html
https://www.c-span.org/presidentialDebate/?debate=third,73 KB,135,text/html
https://www.c-span.org/person/?107570,33 KB,65,text/html
https://www.c-span.org/person/?sonnyperdue,38 KB,90,text/html
https://www.c-span.org/series/?theCapitol,41 KB,79,text/html
https://www.c-span.org/person/?berniesanders,45 KB,101,text/html
https://www.c-span.org/search/?personid%5B%5D=9274089&searchtype=Videos&seriesid%5B%5D=91&sort=Most%2BRecent%2BAiring,76 KB,97,text/html
https://www.c-span.org/series/?AmericanProfile,38 KB,74,text/html
